climate information village	0
climate extreme appear be hazard	0
climate weather modeling projection achieve	0
integrating process climate information service	0
extension sensitization campaign	1
climate information provision	0
replace worn-out pumping equipment	1
woman participation farming	1
delayed start season	1
non-availability combine harvester	1
household are gender response opportunity technology insertion be summarized	1
enrolling development plan expand rice	1
rejection pareto efficiency	1
are practice inheritance	1
individualization expansion land plot	1
renewed interest agriculture stakeholder land saturation fragmentation resulting	1
recommended weed management	1
salt tolerance specie	1
return exception t2	1
variability fertilizer management	1
ingression weed build-up seed bank soil	1
water allocation rule	1
cereal milling industry	1
characteristic imported rice	1
support farmer institution	1
awareness potential practice	1
scale hullers rice	1
government expenditure % gdp opposed investment scale scheme debt servicing	1
value analysis assessment review interdependency dimension capital is highlighted	1
policy expenditure farmer organization	1
combined population growth	1
dissemination farmer farmer	1
water flow relation desalination process	1
implementation proposed policy	1
support scale farmer mill	1
voice accountability country contributing governance service provision productivity	0
registration land designated agroecology credit policy aligned	1
monitoring saed operator side	1
example education health infrastructure productivity gdp	1
influence floodwater ph	1
awareness potential rice farming system including practice	1
maintenance rice ecosystem	1
liberalisation rice marketing milling	1
river development scheme	1
formalizing starting redistribution land	1
network rice development scheme	1
implementation proposed policy simulation analysis	1
impossibility water control	1
material consumption efficiency	1
market regulation system put place	1
is crop management	1
gate rice field fishpond	1
migration men city	1
rice culture continue be practiced	1
exclusion rice field	1
cereal import dependence	1
quality quantity dung	1
quality preference rice consumer	1
spent working land preparation cropping	1
farmer including woman youth	1
community management rule	1
surface wa missing	1
development credit insurance system	1
have fund rice	1
policy supporting mod	1
farmer sold quality paddy sahel contract	1
did have purchase input advance	1
farmer rice miller prefer undertake contract partner	1
contract were set secure credit reimbursement	1
loan is repaid	1
support provided saed	1
did take zero-values consideration	1
larger share village popu	2
cultivation demanding crop	1
openness access member ship check distribu	1
gaining independence equity consideration	1
support co poverty risk	1
water m are guideline	1
longer source built-up asch	0
genotype achieving % yield hds	1
water layer season vest	1
repair existing construct rice mill	1
land is farmer	1
perceive land be reserved farmer	1
unprofitability imported rice	1
rice export flow neighboring country	1
dependence import consumer access rice	1
project shield market actor risk	1
household employ asset consumption	1
agglomeration point value chain	1
unprofitability business model	1
ponents crop management technology including variety	1
availability resource farm socioeconomic char	1
stock market speculation	1
is function variable	1
germplasm collection rice	1
adoption farmer did crop land	1
calibration sum based model example ibration model	1
release variety interaction	1
water nutrient play	1
rice research institute veg research institute	1
having bigger family	1
higher production cost	1
contributing development system	1
demand weedings labor bottleneck	1
system offered advantage disadvantage	1
application herbicide field	1
farmer applied herbicide	1
intervention diffusion technology informing policy	1
emergence rice industry	1
initiative upgrading rice value chain	1
land levelling problem	1
pre emergence herbicide application	1
srv rice grower had maintaining productivity	1
availability machinery soil preparation operation	1
farming took lot land	1
government input subsidy farmer	1
setting land irrigation project investor	1
build pattern land land sharing	1
farming confidence familiarity	1
performance farmer rice productivity	1
averag farming gender	1
crop are grown consumption	1
population growth developing country	1
adoption trade development	1
have access tractor farm equipment	1
import ban imposed	1
awd irrigation regime	1
soil rice genotype climate management practice	0
management practice relationship	1
alignment government policy	1
export ban rice exporter	1
requirement importer make purchase import miller complain	1
reached scale scope	1
inability repay credit	1
farmer access financing rice season	1
go program combined	1
irrigation value chain infrastructure	1
go policy profitability	1
sorting milled rice	1
sorting milled rice farmer	1
n application rice miller	1
rainfall ha allowed sea water intrude sea coast salinity hazard problem sulfate soil marshy land have become	1
clay layer surface soil	1
un produit du programme technology	1
assessment monitoring water quality soil	1
experience rice cultivation	1
soil exchange complex	1
accumulation leaching salt soil	1
enrichment coefficient corresponding sodium	1
chemical analysis water	1
basal fertilizer application	1
proper fertilizer management option	1
nitrogen application initiation	1
diama dam completed	1
member thesis committee	1
development contract farming	1
delay getting credit issued	1
operate scale country	1
is prerequisite participation	1
government ambition reach self-sufficiency	1
prospect gaining credit term capacity performance	1
gain term yield	1
crop managed member t ti household	1
driving force crop productivity is gradient rainfall	1
operation are separated people take task	1
is opportunity labor	1
p uptake compared p supplied	1
management option fertilizer cropping season	1
fertilizer management option application p k fertilizer cropping season rice combined dos n fertilizer season	1
wanted reaction forecast	1
guideline workshop planning	1
advance climate modeling	0
weed begin growing	1
wanted be speak everyone	1
start rainy season	1
fuel utilisation power	1
provision rice environment	0
delayed harvest season cropping	1
awareness rice value chain	1
dissolution union induced conflict	1
delay procurement fund starting	1
water retention potential	1
manual weed control	1
diversity soil micro macro fauna	1
soil carbon content	1
phosphate application timing	1
delay wet season	1
removal distorting regulation	1
credit market imperfection poverty	1
drought market access cash income free roaming animal	1
land leveling problem	1
air temperature in february to march	1
information integrated crop management	0
climate environment help achieve objective	0
development variety is bottleneck	1
sell paddy rice merchant producer agreed f cfa	1
peasant village cultivated crop response	2
season tomato-cropping season	1
needed continue farm management	1
had stock paddy rice storage	1
producer crop rose	1
expansion irrigation canal eld	1
government keep producer onion	1
experiment bund surface	1
saline deposit are distributed	1
incorporation followed fertilizer application	1
incorporation system help offset loss longer period	0
organization input credit provision farmer organization	0
investment market infrastructure	1
quality upgrading rice	1
organization credit provision gy	0
investment transport infrastructure	1
concomitant business risk	1
farmer organization do negotiate marketing credit	1
people appreciation climate risk	0
prediction outcome probability	1
incorporation information decisionpmaking practice	0
participant revise expectation	1
claim practice emerge	1
group have had irrigating	1
scheme had been established	1
yield % sterility	1
n demanding growth stage rice plant	1
dependency rice import	1
household resource allocation behavior	1
norm gender be engaged doing	1
need extension worker	1
access land is problem	1
yield t ha	1
thrive specie do	1
lowest risk return site	1
variability grain yield given weed biomass	1
weed growth yield following season	1
field irrigation source	1
country food security	1
market share rice	1
access training market input capital information research storage processing option community organization marketing	0
protect environment management water regeneration soil	1
be owned operated entrepreneur	1
debt-gdp-ratio % ae scenario	1
teeb agrifood initiative	1
land tenure lead productivity	1
